Ship Length,Engine Mass,Engine Power,DWT,no. of engines,Vessel speed,Cavitation Speed,Froude's No.,Block Coefficient,MMSI,TIMESTAMP,LAT,LON,NAV_STATUS,SOG,COG,HEADING,RATE_OF_TURN,POSITION_ACCURACY,LENGTH
70,11.11241561,740.8277073,39916,1,2.2,9,0.272606467,0.888636069,538007857,26/04/2018_11:19:25,24.70385,64.59639,Under way using engine,15.4,269,272,0,HIGH QUALITY,
63,8.572667084,571.5111389,1011.708121,1,3.2,9,0.287352447,0.888456752,419069500,26/04/2018_11:19:47,21.69757,72.32296,At anchor,2.1,301,511,-128,LOW QUALITY,
65,9.259891293,617.3260862,264,1,0.1,9,0.2828971,0.888511803,538007479,26/04/2018_11:21:04,21.58684,67.99632,Under way using engine,19.1,151.5,151,0,HIGH QUALITY,
250,229.9184786,15327.89857,56615,2,11.8,9,0.144249783,0.88990987,538004336,26/04/2018_11:21:06,22.19146,65.27522,Under way using engine,12.7,142.1,145,0,LOW QUALITY,
64,8.91247548,594.165032,1072.454364,1,0.1,9,0.285098667,0.888484696,463033101,26/04/2018_11:21:07,24.8434,66.98341,Under way sailing,0,181,66,0,LOW QUALITY,
190,121.5569469,8103.79646,54019.55148,1,0.1,9,0.16546585,0.889729133,636013373,26/04/2018_11:20:43,19.7049,67.19867,Under way using engine,11.7,137,136,0,LOW QUALITY,
250,229.9184786,15327.89857,140521.2854,2,11.8,9,0.144249783,0.88990987,538004336,26/04/2018_11:20:54,22.19202,65.27476,Under way using engine,12.7,143.1,145,0,LOW QUALITY,
57,6.691320018,446.0880012,697.6683156,1,0.3,9,0.302097928,0.888268919,566069000,26/04/2018_11:21:06,20.49237,69.43371,Under way using engine,11.5,341.4,338,0,HIGH QUALITY,
60,7.59848933,506.5659553,844.25217,1,5.5,9,0.294448637,0.888367459,612316901,26/04/2018_11:21:31,24.83374,66.96996,Under way sailing,0,55.6,270,0,LOW QUALITY,
63,8.572667084,571.5111389,1011.708121,1,3.3,9,0.287352447,0.888456752,419956788,26/04/2018_11:21:43,21.67949,72.29449,Under way sailing,0,179,511,-128,LOW QUALITY,
59,7.28871014,485.9140093,793.1536328,1,0.1,9,0.29693348,0.888335713,566942000,26/04/2018_11:21:44,18.79297,72.57587,Under way using engine,18,13,14,0,HIGH QUALITY,
228,185.8080563,12387.20375,102088.8023,1,0.1,9,0.151048964,0.889853032,636016364,26/04/2018_11:21:44,18.88688,72.84843,Under way using engine,6.1,210.2,208,0,LOW QUALITY,
32,1.563919229,104.2612819,78.83204227,1,0.1,9,0.403190402,0.886694047,477006700,26/04/2018_11:21:45,21.04909,68.51736,Under way using engine,14.1,332.2,335,0,HIGH QUALITY,
190,121.5569469,8103.79646,54019.55148,1,10,9,0.16546585,0.889729133,612316901,26/04/2018_11:21:50,24.83375,66.96995,Under way sailing,0,50.4,271,0,LOW QUALITY,
68,10.34816741,689.8778273,1341.765027,1,0.3,9,0.276586334,0.888588479,419797000,26/04/2018_11:21:51,18.7014,70.62209,Under way using engine,12.1,154.4,153,0,HIGH QUALITY,
146,65.41302545,4360.868363,21324.44089,1,0.1,9,0.188759469,0.889518653,373728000,26/04/2018_11:21:52,17.33029,69.36892,Under way using engine,16.7,138.7,140,5,HIGH QUALITY,
64,8.91247548,594.165032,1072.454364,1,0.1,9,0.285098667,0.888484696,354986000,26/04/2018_11:21:54,21.37442,72.40627,Under way using engine,0.1,89,189,0,LOW QUALITY,
144,63.31070637,4220.713758,20304.72151,1,12.1,9,0.190065778,0.889506453,356690000,26/04/2018_11:21:58,22.83711,66.46361,Under way using engine,16.4,102.4,104,0,LOW QUALITY,
261,253.9116186,16927.44124,163081.6736,1,2.1,9,0.141177316,0.88993523,371334000,26/04/2018_11:22:05,15.93491,83.2545,Under way using engine,13.7,186.4,179,0,HIGH QUALITY,
323,413.8285173,27588.56782,339321.9243,1,15.4,9,0.126906513,0.890050451,371197000,26/04/2018_11:22:06,23.5551,65.17212,Under way using engine,11.9,108.2,110,0,LOW QUALITY,
259,249.4524053,16630.16035,158804.5138,2,0.1,9,0.141721354,0.889930754,419956767,26/04/2018_11:22:06,22.548,70.03078,Under way using engine,0,360,511,-128,HIGH QUALITY,
250,229.9184786,15327.89857,140521.2854,2,12.2,9,0.144249783,0.88990987,538004336,26/04/2018_11:22:07,22.18862,65.27748,Under way using engine,12.8,143.4,145,0,LOW QUALITY,
105,29.78122586,1985.415057,6550.812273,1,0.4,9,0.222582248,0.889188082,538004696,26/04/2018_11:22:08,18.13192,72.54826,Under way using engine,13.7,170.7,171,0,LOW QUALITY,
32,1.563919229,104.2612819,78.83204227,1,0.1,9,0.403190402,0.886694047,419055555,26/04/2018_11:22:16,21.08549,72.65828,default,0,24,511,-128,HIGH QUALITY,
20,0.464588702,30.97258011,12.76392562,1,0.1,9,0.51,0.884192891,563364000,26/04/2018_11:22:16,22.59405,69.25152,Under way using engine,11.3,116.1,115,0,HIGH QUALITY,
230,189.6062307,12640.41538,105235.0001,2,0.1,9,0.150390795,0.889858578,220501000,26/04/2018_11:22:20,22.4027,60.93731,Under way using engine,18.1,131.5,134,-9,HIGH QUALITY,
59,7.28871014,485.9140093,793.1536328,1,0.2,9,0.29693348,0.888335713,419224000,26/04/2018_11:22:20,19.55861,71.38593,Restricted manoeuverability,0.2,284.8,170,0,LOW QUALITY,
64,8.91247548,594.165032,1072.454364,1,0.1,9,0.285098667,0.888484696,463033101,26/04/2018_11:22:29,24.8434,66.98344,Under way sailing,0,181,66,0,LOW QUALITY,
125,45.22511193,3015.007462,12258.87945,1,0.1,9,0.204,0.889373552,419000636,26/04/2018_11:22:30,20.57704,72.66534,Under way using engine,2.2,205.8,511,-128,LOW QUALITY,
244,217.3780259,14491.86839,129182.8195,1,11.7,9,0.146012575,0.88989523,463057104,26/04/2018_11:22:31,24.7295,67.15605,default,13.2,213.3,511,-128,LOW QUALITY,
245,219.4414058,14629.42705,131026.507,1,13.7,9,0.145714286,0.889897712,636015007,26/04/2018_11:22:32,22.63716,69.13614,Under way using engine,14.2,87.8,87,0,HIGH QUALITY,
32,1.563919229,104.2612819,78.83204227,1,0.4,9,0.403190402,0.886694047,419000914,26/04/2018_11:22:33,18.6027,70.17623,Under way using engine,14.3,336.7,338,0,LOW QUALITY,
149,68.63838194,4575.892129,22920.90991,1,0.1,9,0.186849543,0.889536413,566762000,26/04/2018_11:22:33,21.19694,72.26769,Under way using engine,16.4,25.2,28,-6,HIGH QUALITY,
91,21.07847477,1405.231651,3900.677739,1,0.1,9,0.239091688,0.889014838,431386000,26/04/2018_11:22:34,20.35065,66.31088,Under way using engine,13,142,144,0,HIGH QUALITY,
36,2.110934492,140.7289661,123.621336,1,0.1,9,0.380131556,0.887104917,538006975,26/04/2018_11:22:35,20.55772,71.87388,Under way using engine,5.4,58.4,55,-1,HIGH QUALITY,
315,390.8075259,26053.83506,311405.068,1,15.1,9,0.128507921,0.890037728,987654200,26/04/2018_11:22:38,24.81665,66.97459,default,0,79.2,511,-128,LOW QUALITY,
72,11.90798626,793.8657507,1656.299177,1,1.1,9,0.268793601,0.888681118,463000000,26/04/2018_11:22:38,24.77819,67.35255,Under way sailing,0,360,511,-128,LOW QUALITY,
