50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000,,Ship Length,LAT,LON,Engine Power,DWT,no. of engines,Vessel speed,Dmax
153.4970736,152.99776,152.4989943,152.0007399,151.5029894,151.0057394,150.5089894,150.0127394,149.5170781,149.021832,148.5270864,148.0328412,147.5390966,147.0458525,146.553109,146.0608661,145.569124,145.0778827,144.5871422,144.0969026,,70,24.70388,64.59496,740.8277073,39916,1,2.2,-920
153.9993383,153.5000883,153.0013383,152.5030883,152.0053383,151.5080883,151.0113383,150.5150883,150.0193383,149.5240883,149.0293383,148.5350883,148.0413383,147.5480883,147.0553383,146.5630883,146.0713383,145.5800883,145.0893383,144.5990883,,63,21.69757,72.32296,571.5111389,1011.708121,1,3.2,-5
195.7707704,193.3170155,192.162369,191.4635406,190.9403483,190.4429081,189.9461581,189.4499081,189.0207128,188.5284261,188.0369253,187.5462612,187.0564741,186.5676002,186.0796746,185.5927337,185.1068162,184.6219636,184.1382216,183.6556396,,65,21.58684,67.99632,617.3260862,264,1,0.1,-234
168.7502252,168.2509752,167.7522252,167.2539752,166.7562252,166.2589752,165.7622252,165.2659752,164.7702252,164.2749752,163.7802252,163.2859752,162.7922252,162.2989752,161.8062252,161.3139752,160.8222252,160.3309752,159.8402252,159.3499752,,250,22.19146,65.27522,15327.89857,56615,2,11.8,-2475
170.7719468,170.2726968,169.7739468,169.2756968,168.7779468,168.2806968,167.7839468,167.2876968,166.7919468,166.2966968,165.8019468,165.3076968,164.8139468,164.3206968,163.8279468,163.3356968,162.8439468,162.3526968,161.8619468,161.3716968,,64,24.8434,66.98341,594.165032,1072.454364,1,0.1,2
195.7707704,193.3170155,192.162369,191.4635406,190.9403483,190.4429081,189.9461581,189.4499081,189.0207128,188.5284261,188.0369253,187.5462612,187.0564741,186.5676002,186.0796746,185.5927337,185.1068162,184.6219636,184.1382216,183.6556396,,190,19.7049,67.19867,8103.79646,54019.55148,1,0.1,-2989
151.882927,151.383677,150.884927,150.386677,149.888927,149.391677,148.894927,148.398677,147.902927,147.407677,146.912927,146.418677,145.924927,145.431677,144.938927,144.446677,143.954927,143.463677,142.972927,142.482677,,250,22.19202,65.27476,15327.89857,140521.2854,2,11.8,-2449
167.7111998,167.2119189,166.7131612,166.2149091,165.7171589,165.2199089,164.7231589,164.2269089,163.731181,163.2359319,162.741183,162.2469342,161.7531856,161.259937,160.7671886,160.2749404,159.7831924,159.2919446,158.8011969,158.3109495,,57,20.49237,69.43371,446.0880012,697.6683156,1,0.3,-113
153.4970972,152.9977657,152.4989956,152.0007401,151.5029894,151.0057394,150.5089894,150.0127394,149.517096,149.0218508,148.5271061,148.0328619,147.5391183,147.0458754,146.5531332,146.0608918,145.5691513,145.0779118,144.5871732,144.0969357,,60,24.83374,66.96996,506.5659553,844.25217,1,5.5,2
152.4400102,151.9407602,151.4420102,150.9437602,150.4460102,149.9487602,149.4520102,148.9557602,148.4600102,147.9647602,147.4700102,146.9757602,146.4820102,145.9887602,145.4960102,145.0037602,144.5120102,144.0207602,143.5300102,143.0397602,,63,21.67949,72.29449,571.5111389,1011.708121,1,3.3,-3
173.5362181,173.0369681,172.5382181,172.0399681,171.5422181,171.0449681,170.5482181,170.0519681,169.5562181,169.0609681,168.5662181,168.0719681,167.5782181,167.0849681,166.5922181,166.0999681,165.6082181,165.1169681,164.6262181,164.1359681,,59,18.79297,72.57587,485.9140093,793.1536328,1,0.1,-30
142.4134648,141.9142148,141.4154648,140.9172148,140.4194648,139.9222148,139.4254648,138.9292148,138.4334648,137.9382148,137.4434648,136.9492148,136.4554648,135.9622148,135.4694648,134.9772148,134.4854648,133.9942148,133.5034648,133.0132148,,228,18.88688,72.84843,12387.20375,102088.8023,1,0.1,-2
186.7185691,185.5237715,184.8348818,184.2824853,183.777997,183.2806968,182.7839468,182.2876968,181.8236653,181.3298335,180.8366391,180.3441065,179.8522554,179.3611033,178.8706675,178.3809657,177.8920169,177.4038417,176.9164627,176.4299044,,32,21.04909,68.51736,104.2612819,78.83204227,1,0.1,-2158
154.7232017,154.2239517,153.7252017,153.2269517,152.7292017,152.2319517,151.7352017,151.2389517,150.7432017,150.2479517,149.7532017,149.2589517,148.7652017,148.2719517,147.7792017,147.2869517,146.7952017,146.3039517,145.8132017,145.3229517,,190,24.83375,66.96995,8103.79646,54019.55148,1,10,2
166.7352135,166.2359635,165.7372135,165.2389635,164.7412135,164.2439635,163.7472135,163.2509635,162.7552135,162.2599635,161.7652135,161.2709635,160.7772135,160.2839635,159.7912135,159.2989635,158.8072135,158.3159635,157.8252135,157.3349635,,68,18.7014,70.62209,689.8778273,1341.765027,1,0.3,-91
