Ship Length,Engine Mass,Engine Power,DWT,no. of engines,Vessel speed,Cavitation Speed,Froude's No.,Block Coefficient,LAT,LON,SOG,COG,HEADING,RATE_OF_TURN,Source level
70,11.11241561,740.8277073,39916.0,1,2.2,9,0.272606467,0.888636069,24.70385,64.59639,15.4,269.0,272,0,77.3002601156102
63,8.572667084,571.5111389,1011.708121,1,3.2,9,0.287352447,0.888456752,21.69757,72.32296,2.1,301.0,511,-128,60.264351371050125
65,9.259891293,617.3260862,264.0,1,0.1,9,0.2828971,0.888511803,21.58684,67.99632,19.1,151.5,151,0,69.47693727301628
250,229.9184786,15327.89857,56615.0,2,11.8,9,0.144249783,0.88990987,22.19146,65.27522,12.7,142.1,145,0,
64,8.91247548,594.165032,1072.454364,1,0.1,9,0.285098667,0.888484696,24.8434,66.98341,0.0,181.0,66,0,75.66595194535125
190,121.5569469,8103.79646,54019.55148,1,0.1,9,0.16546585,0.889729133,19.7049,67.19867,11.7,137.0,136,0,85.58691192091233
250,229.9184786,15327.89857,140521.2854,2,11.8,9,0.144249783,0.88990987,22.19202,65.27476,12.7,143.1,145,0,
57,6.691320018,446.0880012,697.6683156,1,0.3,9,0.302097928,0.888268919,20.49237,69.43371,11.5,341.4,338,0,69.78397279866988
60,7.59848933,506.5659553,844.25217,1,5.5,9,0.294448637,0.888367459,24.83374,66.96996,0.0,55.6,270,0,56.51975667208531
63,8.572667084,571.5111389,1011.708121,1,3.3,9,0.287352447,0.888456752,21.67949,72.29449,0.0,179.0,511,-128,60.110899093651255
59,7.28871014,485.9140093,793.1536328,1,0.1,9,0.29693348,0.888335713,18.79297,72.57587,18.0,13.0,14,0,74.88711294765025
228,185.8080563,12387.20375,102088.8023,1,0.1,9,0.151048964,0.889853032,18.88688,72.84843,6.1,210.2,208,0,87.16225508927813
32,1.563919229,104.2612819,78.83204227,1,0.1,9,0.403190402,0.886694047,21.04909,68.51736,14.1,332.2,335,0,68.86216464187709
190,121.5569469,8103.79646,54019.55148,1,10.0,9,0.16546585,0.889729133,24.83375,66.96995,0.0,50.4,271,0,
68,10.34816741,689.8778273,1341.765027,1,0.3,9,0.276586334,0.888588479,18.7014,70.62209,12.1,154.4,153,0,71.4716123808065
